,date,supply
481,2014-08-22,13166525.0
482,2014-08-23,13178675.0
483,2014-08-24,13178675.0
484,2014-08-25,13178675.0
485,2014-08-26,13190275.0
486,2014-08-27,13190275.0
487,2014-08-28,13190275.0
488,2014-08-29,13202975.0
489,2014-08-30,13202975.0
490,2014-08-31,13202975.0
491,2014-09-01,13215900.0
492,2014-09-02,13215900.0
493,2014-09-03,13215900.0
494,2014-09-04,13227625.0
495,2014-09-05,13227625.0
496,2014-09-06,13227625.0
497,2014-09-07,13239650.0
498,2014-09-08,13239650.0
499,2014-09-09,13239650.0
500,2014-09-10,13250675.0
501,2014-09-11,13250675.0
502,2014-09-12,13250675.0
503,2014-09-13,13263175.0
504,2014-09-14,13263175.0
505,2014-09-15,13263175.0
506,2014-09-16,13275350.0
507,2014-09-17,13275350.0
508,2014-09-18,13275350.0
509,2014-09-19,13288750.0
510,2014-09-20,13288750.0
511,2014-09-21,13288750.0
512,2014-09-22,13301375.0
513,2014-09-23,13301375.0
514,2014-09-24,13301375.0
515,2014-09-25,13313300.0
516,2014-09-26,13313300.0
517,2014-09-27,13313300.0
518,2014-09-28,13323750.0
519,2014-09-29,13323750.0
520,2014-09-30,13323750.0
521,2014-10-01,13334625.0
522,2014-10-02,13334625.0
523,2014-10-03,13334625.0
524,2014-10-04,13345425.0
525,2014-10-05,13345425.0
526,2014-10-06,13345425.0
527,2014-10-07,13357650.0
528,2014-10-08,13357650.0
529,2014-10-09,13357650.0
530,2014-10-10,13368450.0
531,2014-10-11,13368450.0
532,2014-10-12,13368450.0
533,2014-10-13,13379550.0
534,2014-10-14,13379550.0
535,2014-10-15,13379550.0
536,2014-10-16,13390475.0
537,2014-10-17,13390475.0
538,2014-10-18,13390475.0
539,2014-10-19,13401400.0
540,2014-10-20,13401400.0
541,2014-10-21,13401400.0
542,2014-10-22,13412625.0
543,2014-10-23,13412625.0
544,2014-10-24,13412625.0
545,2014-10-25,13424075.0
546,2014-10-26,13424075.0
547,2014-10-27,13424075.0
548,2014-10-28,13434800.0
549,2014-10-29,13434800.0
550,2014-10-30,13434800.0
551,2014-10-31,13447425.0
552,2014-11-01,13447425.0
553,2014-11-02,13447425.0
554,2014-11-03,13459400.0
555,2014-11-04,13459400.0
556,2014-11-05,13459400.0
557,2014-11-06,13471125.0
558,2014-11-07,13471125.0
559,2014-11-08,13471125.0
560,2014-11-09,13482100.0
561,2014-11-10,13482100.0
562,2014-11-11,13482100.0
563,2014-11-12,13492950.0
564,2014-11-13,13492950.0
565,2014-11-14,13492950.0
566,2014-11-15,13504000.0
567,2014-11-16,13504000.0
568,2014-11-17,13504000.0
569,2014-11-18,13515175.0
570,2014-11-19,13515175.0
571,2014-11-20,13515175.0
572,2014-11-21,13525125.0
573,2014-11-22,13525125.0
574,2014-11-23,13525125.0
575,2014-11-24,13536475.0
576,2014-11-25,13536475.0
577,2014-11-26,13536475.0
578,2014-11-27,13546525.0
579,2014-11-28,13546525.0
580,2014-11-29,13546525.0
581,2014-11-30,13558075.0
582,2014-12-01,13558075.0
583,2014-12-02,13558075.0
584,2014-12-03,13568225.0
585,2014-12-04,13568225.0
586,2014-12-05,13568225.0
587,2014-12-06,13579300.0
588,2014-12-07,13579300.0
589,2014-12-08,13579300.0
590,2014-12-09,13589575.0
591,2014-12-10,13589575.0
592,2014-12-11,13589575.0
593,2014-12-12,13600850.0
594,2014-12-13,13600850.0
595,2014-12-14,13600850.0
596,2014-12-15,13611550.0
597,2014-12-16,13611550.0
598,2014-12-17,13611550.0
599,2014-12-18,13621525.0
600,2014-12-19,13621525.0
601,2014-12-20,13621525.0
602,2014-12-21,13631775.0
603,2014-12-22,13631775.0
604,2014-12-23,13631775.0
605,2014-12-24,13642825.0
606,2014-12-25,13642825.0
607,2014-12-26,13642825.0
608,2014-12-27,13654650.0
609,2014-12-28,13654650.0
610,2014-12-29,13654650.0
611,2014-12-30,13666700.0
612,2014-12-31,13666700.0
613,2015-01-01,13666700.0
614,2015-01-02,13678725.0
615,2015-01-03,13678725.0
616,2015-01-04,13678725.0
617,2015-01-05,13691175.0
618,2015-01-06,13691175.0
619,2015-01-07,13691175.0
620,2015-01-08,13702175.0
621,2015-01-09,13702175.0
622,2015-01-10,13702175.0
623,2015-01-11,13713175.0
624,2015-01-12,13713175.0
625,2015-01-13,13713175.0
626,2015-01-14,13723675.0
627,2015-01-15,13723675.0
628,2015-01-16,13723675.0
629,2015-01-17,13734300.0
630,2015-01-18,13734300.0
631,2015-01-19,13734300.0
632,2015-01-20,13744900.0
633,2015-01-21,13744900.0
634,2015-01-22,13744900.0
635,2015-01-23,13755175.0
636,2015-01-24,13755175.0
637,2015-01-25,13755175.0
638,2015-01-26,13764525.0
639,2015-01-27,13764525.0
640,2015-01-28,13764525.0
641,2015-01-29,13776350.0
642,2015-01-30,13776350.0
643,2015-01-31,13776350.0
644,2015-02-01,13787950.0
645,2015-02-02,13787950.0
646,2015-02-03,13787950.0
647,2015-02-04,13799025.0
648,2015-02-05,13799025.0
649,2015-02-06,13799025.0
650,2015-02-07,13811375.0
651,2015-02-08,13811375.0
652,2015-02-09,13811375.0
653,2015-02-10,13822200.0
654,2015-02-11,13822200.0
655,2015-02-12,13822200.0
656,2015-02-13,13832850.0
657,2015-02-14,13832850.0
658,2015-02-15,13832850.0
659,2015-02-16,13844175.0
660,2015-02-17,13844175.0
661,2015-02-18,13844175.0
662,2015-02-19,13856175.0
663,2015-02-20,13856175.0
664,2015-02-21,13856175.0
665,2015-02-22,13867550.0
666,2015-02-23,13867550.0
667,2015-02-24,13867550.0
668,2015-02-25,13878325.0
669,2015-02-26,13878325.0
670,2015-02-27,13878325.0
671,2015-02-28,13889250.0
672,2015-03-01,13889250.0
673,2015-03-02,13889250.0
674,2015-03-03,13900600.0
675,2015-03-04,13900600.0
676,2015-03-05,13900600.0
677,2015-03-06,13911325.0
678,2015-03-07,13911325.0
679,2015-03-08,13911325.0
680,2015-03-09,13922050.0
681,2015-03-10,13922050.0
682,2015-03-11,13922050.0
683,2015-03-12,13933300.0
684,2015-03-13,13933300.0
685,2015-03-14,13933300.0
686,2015-03-15,13943800.0
687,2015-03-16,13943800.0
688,2015-03-17,13943800.0
689,2015-03-18,13954175.0
690,2015-03-19,13954175.0
691,2015-03-20,13954175.0
692,2015-03-21,13964850.0
693,2015-03-22,13964850.0
694,2015-03-23,13964850.0
695,2015-03-24,13976150.0
696,2015-03-25,13976150.0
697,2015-03-26,13976150.0
698,2015-03-27,13988325.0
699,2015-03-28,13988325.0
700,2015-03-29,13988325.0
701,2015-03-30,13999400.0
702,2015-03-31,13999400.0
703,2015-04-01,13999400.0
704,2015-04-02,14010350.0
705,2015-04-03,14010350.0
706,2015-04-04,14010350.0
707,2015-04-05,14021750.0
708,2015-04-06,14021750.0
709,2015-04-07,14021750.0
710,2015-04-08,14031925.0
711,2015-04-09,14031925.0
712,2015-04-10,14031925.0
713,2015-04-11,14042475.0
714,2015-04-12,14042475.0
715,2015-04-13,14042475.0
716,2015-04-14,14053350.0
717,2015-04-15,14053350.0
718,2015-04-16,14053350.0
719,2015-04-17,14063225.0
720,2015-04-18,14063225.0
721,2015-04-19,14063225.0
722,2015-04-20,14074100.0
723,2015-04-21,14074100.0
724,2015-04-22,14074100.0
725,2015-04-23,14085100.0
726,2015-04-24,14085100.0
727,2015-04-25,14085100.0
728,2015-04-26,14095675.0
729,2015-04-27,14095675.0
730,2015-04-28,14095675.0
731,2015-04-29,14106275.0
732,2015-04-30,14106275.0
733,2015-05-01,14106275.0
734,2015-05-02,14116950.0
735,2015-05-03,14116950.0
736,2015-05-04,14116950.0
737,2015-05-05,14127550.0
738,2015-05-06,14127550.0
739,2015-05-07,14127550.0
740,2015-05-08,14138850.0
741,2015-05-09,14138850.0
742,2015-05-10,14138850.0
743,2015-05-11,14148950.0
744,2015-05-12,14148950.0
745,2015-05-13,14148950.0
746,2015-05-14,14160450.0
747,2015-05-15,14160450.0
748,2015-05-16,14160450.0
749,2015-05-17,14172100.0
750,2015-05-18,14172100.0
751,2015-05-19,14172100.0
752,2015-05-20,14182475.0
753,2015-05-21,14182475.0
754,2015-05-22,14182475.0
755,2015-05-23,14192850.0
756,2015-05-24,14192850.0
757,2015-05-25,14192850.0
758,2015-05-26,14203350.0
759,2015-05-27,14203350.0
760,2015-05-28,14203350.0
761,2015-05-29,14214200.0
762,2015-05-30,14214200.0
763,2015-05-31,14214200.0
764,2015-06-01,14224400.0
765,2015-06-02,14224400.0
766,2015-06-03,14224400.0
767,2015-06-04,14235150.0
768,2015-06-05,14235150.0
769,2015-06-06,14235150.0
770,2015-06-07,14246900.0
771,2015-06-08,14246900.0
772,2015-06-09,14246900.0
773,2015-06-10,14258425.0
774,2015-06-11,14258425.0
775,2015-06-12,14258425.0
776,2015-06-13,14269650.0
777,2015-06-14,14269650.0
778,2015-06-15,14269650.0
779,2015-06-16,14280100.0
780,2015-06-17,14280100.0
781,2015-06-18,14280100.0
782,2015-06-19,14291525.0
783,2015-06-20,14291525.0
