,date,close
1032,2016-02-24,424.95
1033,2016-02-25,424.54
1034,2016-02-26,432.15
1035,2016-02-27,432.52
1036,2016-02-28,433.5
1037,2016-02-29,437.7
1038,2016-03-01,435.12
1039,2016-03-02,423.99
1040,2016-03-03,421.65
1041,2016-03-04,410.94
1042,2016-03-05,400.57
1043,2016-03-06,407.71
1044,2016-03-07,414.32
1045,2016-03-08,413.97
1046,2016-03-09,414.86
1047,2016-03-10,417.13
1048,2016-03-11,421.69
1049,2016-03-12,411.62
1050,2016-03-13,414.07
1051,2016-03-14,416.44
1052,2016-03-15,416.83
1053,2016-03-16,417.01
1054,2016-03-17,420.62
1055,2016-03-18,409.55
1056,2016-03-19,410.44
1057,2016-03-20,413.76
1058,2016-03-21,413.31
1059,2016-03-22,418.09
1060,2016-03-23,418.04
1061,2016-03-24,416.39
1062,2016-03-25,417.18
1063,2016-03-26,417.95
1064,2016-03-27,426.77
1065,2016-03-28,424.23
1066,2016-03-29,416.52
1067,2016-03-30,414.82
1068,2016-03-31,416.73
1069,2016-04-01,417.96
1070,2016-04-02,420.87
1071,2016-04-03,420.9
1072,2016-04-04,421.44
1073,2016-04-05,424.03
1074,2016-04-06,423.41
1075,2016-04-07,422.74
1076,2016-04-08,420.35
1077,2016-04-09,419.41
1078,2016-04-10,421.56
1079,2016-04-11,422.48
1080,2016-04-12,425.19
1081,2016-04-13,423.73
1082,2016-04-14,424.28
1083,2016-04-15,429.71
1084,2016-04-16,430.57
1085,2016-04-17,427.4
1086,2016-04-18,428.59
1087,2016-04-19,435.51
1088,2016-04-20,441.39
1089,2016-04-21,449.42
1090,2016-04-22,445.74
1091,2016-04-23,450.28
1092,2016-04-24,458.55
1093,2016-04-25,461.43
1094,2016-04-26,466.09
1095,2016-04-27,444.69
1096,2016-04-28,449.01
1097,2016-04-29,455.1
1098,2016-04-30,448.32
1099,2016-05-01,451.88
1100,2016-05-02,444.67
1101,2016-05-03,450.3
1102,2016-05-04,446.72
1103,2016-05-05,447.98
1104,2016-05-06,459.6
1105,2016-05-07,458.54
1106,2016-05-08,458.55
1107,2016-05-09,460.48
1108,2016-05-10,450.89
1109,2016-05-11,452.73
1110,2016-05-12,454.77
1111,2016-05-13,455.67
1112,2016-05-14,455.67
1113,2016-05-15,457.57
1114,2016-05-16,454.16
1115,2016-05-17,453.78
1116,2016-05-18,454.62
1117,2016-05-19,438.71
1118,2016-05-20,442.68
1119,2016-05-21,443.19
1120,2016-05-22,439.32
1121,2016-05-23,444.15
1122,2016-05-24,445.98
1123,2016-05-25,449.6
1124,2016-05-26,453.38
1125,2016-05-27,473.46
1126,2016-05-28,530.04
1127,2016-05-29,526.23
1128,2016-05-30,533.86
1129,2016-05-31,531.39
1130,2016-06-01,536.92
1131,2016-06-02,537.97
1132,2016-06-03,569.19
1133,2016-06-04,572.73
1134,2016-06-05,574.98
1135,2016-06-06,585.54
1136,2016-06-07,576.6
1137,2016-06-08,581.65
1138,2016-06-09,574.63
1139,2016-06-10,577.47
1140,2016-06-11,606.73
1141,2016-06-12,672.78
1142,2016-06-13,704.38
1143,2016-06-14,685.56
1144,2016-06-15,694.47
1145,2016-06-16,766.31
1146,2016-06-17,748.91
1147,2016-06-18,756.23
1148,2016-06-19,763.78
1149,2016-06-20,737.23
1150,2016-06-21,666.65
1151,2016-06-22,596.12
1152,2016-06-23,623.98
1153,2016-06-24,665.3
1154,2016-06-25,665.12
1155,2016-06-26,629.37
1156,2016-06-27,655.28
1157,2016-06-28,647.0
1158,2016-06-29,639.89
1159,2016-06-30,673.34
1160,2016-07-01,676.3
1161,2016-07-02,703.7
1162,2016-07-03,658.66
1163,2016-07-04,683.66
1164,2016-07-05,670.63
1165,2016-07-06,677.33
1166,2016-07-07,640.56
1167,2016-07-08,666.52
1168,2016-07-09,650.96
1169,2016-07-10,649.36
1170,2016-07-11,647.66
1171,2016-07-12,664.55
1172,2016-07-13,654.47
1173,2016-07-14,658.08
1174,2016-07-15,663.26
1175,2016-07-16,660.77
1176,2016-07-17,679.46
1177,2016-07-18,673.11
1178,2016-07-19,672.86
1179,2016-07-20,665.68
1180,2016-07-21,665.01
1181,2016-07-22,650.62
1182,2016-07-23,655.56
1183,2016-07-24,661.28
1184,2016-07-25,654.1
1185,2016-07-26,651.78
1186,2016-07-27,654.35
1187,2016-07-28,655.03
1188,2016-07-29,656.99
1189,2016-07-30,655.05
1190,2016-07-31,624.68
1191,2016-08-01,606.27
1192,2016-08-02,547.47
1193,2016-08-03,566.35
1194,2016-08-04,578.29
1195,2016-08-05,575.04
1196,2016-08-06,587.78
1197,2016-08-07,592.69
1198,2016-08-08,591.05
1199,2016-08-09,587.8
1200,2016-08-10,592.1
1201,2016-08-11,589.12
1202,2016-08-12,587.56
1203,2016-08-13,585.59
1204,2016-08-14,570.47
1205,2016-08-15,567.24
1206,2016-08-16,577.44
1207,2016-08-17,573.22
1208,2016-08-18,574.32
1209,2016-08-19,575.63
1210,2016-08-20,581.7
1211,2016-08-21,581.31
1212,2016-08-22,586.75
1213,2016-08-23,583.41
1214,2016-08-24,580.18
1215,2016-08-25,577.76
1216,2016-08-26,579.65
1217,2016-08-27,569.95
1218,2016-08-28,573.91
1219,2016-08-29,574.11
1220,2016-08-30,577.5
1221,2016-08-31,575.47
1222,2016-09-01,572.3
1223,2016-09-02,575.54
1224,2016-09-03,598.21
1225,2016-09-04,608.63
1226,2016-09-05,606.59
1227,2016-09-06,610.44
1228,2016-09-07,614.54
1229,2016-09-08,626.32
1230,2016-09-09,622.86
1231,2016-09-10,623.51
1232,2016-09-11,606.72
1233,2016-09-12,608.24
1234,2016-09-13,609.24
1235,2016-09-14,610.68
1236,2016-09-15,607.16
1237,2016-09-16,606.97
1238,2016-09-17,605.98
1239,2016-09-18,609.87
1240,2016-09-19,609.23
1241,2016-09-20,608.31
1242,2016-09-21,597.15
1243,2016-09-22,596.3
1244,2016-09-23,602.84
1245,2016-09-24,602.63
1246,2016-09-25,600.83
1247,2016-09-26,608.04
1248,2016-09-27,606.17
1249,2016-09-28,604.73
1250,2016-09-29,605.69
1251,2016-09-30,609.73
1252,2016-10-01,613.98
1253,2016-10-02,610.89
1254,2016-10-03,612.13
1255,2016-10-04,610.2
1256,2016-10-05,612.51
1257,2016-10-06,613.02
