date,close,open,high,low,,
"Sep 02, 2016","1,371.70","1,371.70","1,371.70","1,371.70",,
"Sep 01, 2016","1,359.00","1,359.00","1,359.00","1,359.00",,
"Aug 31, 2016","1,354.00","1,354.00","1,354.00","1,354.00",,
"Aug 30, 2016","1,360.60","1,360.60","1,360.60","1,360.60",,
"Aug 29, 2016","1,370.50","1,370.50","1,370.50","1,370.50",,
"Aug 26, 2016","1,369.30","1,369.30","1,369.30","1,369.30",,
"Aug 25, 2016","1,370.10","1,370.10","1,370.10","1,370.10",,
"Aug 24, 2016","1,376.50","1,376.50","1,376.50","1,376.50",,
"Aug 23, 2016","1,393.90","1,393.90","1,393.90","1,393.90",,
"Aug 22, 2016","1,391.30","1,391.30","1,391.30","1,391.30",,
"Aug 19, 2016","1,394.10","1,394.10","1,394.10","1,394.10",,
"Aug 18, 2016","1,405.20","1,405.20","1,405.20","1,405.20",,
"Aug 17, 2016","1,396.70","1,396.70","1,396.70","1,396.70",,
"Aug 16, 2016","1,405.10","1,405.10","1,405.10","1,405.10",,
"Aug 15, 2016","1,396.70","1,396.70","1,396.70","1,396.70",,
"Aug 12, 2016","1,392.90","1,392.90","1,392.90","1,392.90",,
"Aug 11, 2016","1,400.10","1,400.10","1,400.10","1,400.10",,
"Aug 10, 2016","1,401.70","1,401.70","1,401.70","1,401.70",,
"Aug 09, 2016","1,396.70","1,396.70","1,396.70","1,396.70",,
"Aug 08, 2016","1,391.40","1,391.40","1,391.40","1,391.40",,
"Aug 05, 2016","1,394.00","1,394.00","1,394.00","1,394.00",,
"Aug 04, 2016","1,414.00","1,414.00","1,414.00","1,414.00",,
"Aug 03, 2016","1,410.00","1,414.20","1,414.20","1,414.20",,
"Aug 02, 2016","1,415.50","1,415.50","1,415.50","1,415.50",,
"Aug 01, 2016","1,402.30","1,402.90","1,403.20","1,402.90",,
"Jul 29, 2016","1,401.80","1,401.80","1,401.80","1,401.80",,
"Jul 28, 2016","1,384.90","1,384.90","1,384.90","1,384.90",,
"Jul 27, 2016","1,378.10","1,378.10","1,378.10","1,378.10",,
"Jul 26, 2016","1,369.60","1,369.60","1,369.60","1,369.60",,
"Jul 25, 2016","1,368.30","1,368.30","1,368.30","1,368.30",,
"Jul 22, 2016","1,372.50","1,372.50","1,372.50","1,372.50",,
"Jul 21, 2016","1,379.20","1,379.20","1,379.20","1,379.20",,
"Jul 20, 2016","1,366.70","1,366.70","1,366.70","1,366.70",,
"Jul 19, 2016","1,379.30","1,379.30","1,379.30","1,379.30",,
"Jul 18, 2016","1,375.90","1,375.90","1,375.90","1,375.90",,
"Jul 15, 2016","1,374.00","1,374.00","1,374.00","1,374.00",,
"Jul 14, 2016","1,378.20","1,378.20","1,378.20","1,378.20",,
"Jul 13, 2016","1,389.50","1,389.50","1,389.50","1,389.50",,
"Jul 12, 2016","1,381.20","1,386.10","1,386.10","1,386.10",,
"Jul 11, 2016","1,401.80","1,407.70","1,407.70","1,407.70",,
"Jul 08, 2016","1,402.50","1,399.80","1,399.80","1,399.80",,
"Jul 07, 2016","1,405.50","1,405.50","1,405.50","1,405.50",,
"Jul 06, 2016","1,411.70","1,408.20","1,409.00","1,406.00",,
"Jul 05, 2016","1,403.30","1,394.50","1,394.50","1,393.80",,
"Jul 04, 2016","1,352.00","1,345.00","1,360.15","1,343.00",,
"Jul 03, 2016","1,345.50","1,344.50","1,347.55","1,338.85",,
