,date,close,open,high,low,day
1240,2018-01-12,1394.4,1394.4,1394.4,1394.4,4
1241,2018-01-14,1337.4,1337.7,1338.6,1336.4,6
1242,2018-01-15,1341.8,1337.3,1344.9,1337.0,0
1243,2018-01-16,1396.8,1391.0,1391.3,1391.0,1
1244,2018-01-17,1399.7,1399.7,1399.7,1399.7,2
1245,2018-01-18,1387.4,1387.4,1387.4,1387.4,3
1246,2018-01-19,1394.3,1394.3,1394.3,1394.3,4
1247,2018-01-22,1394.0,1394.0,1394.0,1394.0,0
1248,2018-01-23,1398.2,1398.2,1398.2,1398.2,1
1249,2018-01-24,1419.1,1419.1,1419.1,1419.1,2
1250,2018-01-25,1425.9,1418.8,1418.8,1418.8,3
1251,2018-01-26,1416.0,1414.0,1416.5,1414.0,4
1252,2018-01-29,1403.6,1412.0,1412.0,1403.0,0
1253,2018-01-30,1398.5,1398.5,1398.5,1398.5,1
1254,2018-01-31,1401.7,1405.8,1407.5,1405.8,2
1255,2018-02-01,1406.7,1406.7,1406.7,1406.7,3
1256,2018-02-02,1396.2,1396.2,1396.2,1396.2,4
1257,2018-02-05,1394.5,1394.5,1394.5,1394.5,0
1258,2018-02-06,1387.0,1405.2,1405.2,1385.0,1
1259,2018-02-07,1372.3,1374.0,1374.0,1374.0,2
1260,2018-02-08,1376.4,1376.0,1377.0,1375.0,3
1261,2018-02-09,1372.3,1372.7,1372.7,1372.7,4
1262,2018-02-12,1383.1,1383.1,1383.1,1383.1,0
1263,2018-02-13,1387.0,1389.2,1389.2,1389.1,1
1264,2018-02-14,1415.1,1397.0,1397.0,1397.0,2
1265,2018-02-15,1413.7,1412.0,1412.0,1412.0,3
1266,2018-02-16,1415.0,1415.0,1415.0,1415.0,4
1267,2018-02-18,1350.5,1349.7,1352.4,1349.7,6
1268,2018-02-19,1347.8,1350.4,1353.9,1347.4,0
1269,2018-02-20,1390.1,1404.8,1404.8,1392.2,1
1270,2018-02-21,1392.3,1390.7,1394.0,1388.8,2
1271,2018-02-22,1393.1,1387.4,1392.8,1383.1,3
1272,2018-02-23,1390.7,1390.7,1390.7,1390.7,4
1273,2018-02-26,1394.8,1394.8,1394.8,1394.8,0
1274,2018-02-27,1381.3,1385.8,1385.8,1378.4,1
1275,2018-02-28,1380.8,1382.0,1382.0,1382.0,2
1276,2018-03-01,1367.6,1377.5,1377.5,1365.8,3
1277,2018-03-02,1385.8,1378.0,1378.0,1378.0,4
1278,2018-03-05,1382.1,1382.1,1382.1,1382.1,0
1279,2018-03-06,1397.5,1399.9,1399.9,1399.9,1
1280,2018-03-07,1389.5,1389.5,1389.5,1389.5,2
1281,2018-03-08,1384.0,1381.5,1381.5,1381.5,3
1282,2018-03-09,1386.9,1386.9,1386.9,1386.9,4
1283,2018-03-12,1383.7,1381.4,1381.4,1381.4,0
1284,2018-03-13,1390.3,1390.3,1390.3,1390.3,1
1285,2018-03-14,1388.6,1388.6,1388.6,1388.6,2
1286,2018-03-15,1380.6,1381.7,1381.7,1381.7,3
1287,2018-03-16,1375.2,1375.2,1375.2,1375.2,4
1288,2018-03-19,1380.6,1380.6,1380.6,1380.6,0
1289,2018-03-20,1375.1,1375.1,1375.1,1375.1,1
1290,2018-03-21,1385.5,1385.5,1385.5,1385.5,2
1291,2018-03-22,1391.1,1391.1,1391.1,1391.1,3
1292,2018-03-23,1413.9,1403.5,1412.3,1403.5,4
1293,2018-03-26,1419.9,1420.3,1420.5,1418.9,0
1294,2018-03-27,1406.7,1413.0,1413.0,1407.1,1
1295,2018-03-28,1387.8,1399.0,1399.0,1389.5,2
1296,2018-03-29,1384.9,1384.3,1384.3,1384.1,3
1297,2018-04-02,1404.7,1404.7,1404.7,1404.7,0
1298,2018-04-03,1395.4,1392.0,1392.0,1392.0,1
1299,2018-04-04,1398.6,1398.6,1398.6,1398.6,2
1300,2018-04-05,1387.0,1387.0,1387.0,1387.0,3
1301,2018-04-06,1394.8,1394.0,1394.2,1393.6,4
1302,2018-04-09,1398.5,1398.8,1398.8,1398.8,0
1303,2018-04-10,1404.4,1404.4,1404.4,1404.4,1
1304,2018-04-11,1418.9,1418.9,1418.9,1418.9,2
1305,2018-04-12,1400.3,1400.3,1400.3,1400.3,3
1306,2018-04-13,1406.6,1406.6,1406.6,1406.6,4
1307,2018-04-16,1409.3,1409.3,1409.3,1409.3,0
1308,2018-04-17,1408.0,1410.7,1410.7,1410.7,1
1309,2018-04-18,1412.2,1412.2,1412.2,1412.2,2
1310,2018-04-19,1407.5,1405.6,1405.8,1405.6,3
1311,2018-04-20,1396.9,1402.8,1402.8,1396.5,4
1312,2018-04-23,1382.7,1395.1,1395.1,1383.6,0
1313,2018-04-24,1391.8,1384.6,1393.0,1384.6,1
1314,2018-04-25,1381.6,1383.4,1383.4,1383.4,2
1315,2018-04-26,1376.7,1378.8,1378.8,1378.8,3
1316,2018-04-27,1382.3,1382.3,1382.3,1382.3,4
1317,2018-04-30,1377.8,1380.0,1380.0,1380.0,0
1318,2018-05-01,1365.1,1370.0,1370.0,1365.2,1
1319,2018-05-02,1364.0,1370.0,1370.0,1364.0,2
1320,2018-05-03,1371.1,1370.0,1374.2,1370.0,3
1321,2018-05-04,1373.4,1370.0,1373.6,1370.0,4
1322,2018-05-07,1372.9,1376.2,1377.2,1369.6,0
1323,2018-05-08,1372.5,1365.5,1365.5,1365.5,1
1324,2018-05-09,1371.7,1374.1,1375.1,1370.4,2
1325,2018-05-10,1380.8,1373.2,1376.7,1372.7,3
1326,2018-05-11,1379.1,1379.1,1379.1,1379.1,4
1327,2018-05-14,1376.6,1376.6,1376.6,1376.6,0
1328,2018-05-15,1348.5,1366.3,1366.3,1349.0,1
1329,2018-05-16,1350.1,1352.8,1352.8,1347.0,2
1330,2018-05-17,1347.9,1351.1,1351.1,1347.0,3
1331,2018-05-18,1349.2,1344.4,1349.0,1344.4,4
1332,2018-05-21,1349.0,1342.0,1345.1,1342.0,0
1333,2018-05-22,1350.0,1350.0,1350.0,1350.0,1
1334,2018-05-23,1347.4,1347.0,1347.0,1347.0,2
1335,2018-05-24,1362.4,1362.4,1362.4,1362.4,3
1336,2018-05-25,1361.4,1360.2,1361.8,1360.2,4
1337,2018-05-27,1298.3,1299.8,1299.9,1296.1,6
1338,2018-05-28,1297.6,1298.4,1299.7,1294.7,0
1339,2018-05-29,1354.6,1361.5,1362.4,1353.0,1
1340,2018-05-30,1357.6,1355.0,1356.4,1355.0,2
1341,2018-05-31,1355.9,1357.4,1357.4,1355.3,3
1342,2018-06-01,1350.9,1350.9,1350.9,1350.9,4
1343,2018-06-04,1349.4,1349.4,1349.4,1349.4,0
1344,2018-06-05,1354.1,1349.5,1355.1,1349.5,1
1345,2018-06-06,1353.5,1356.6,1356.6,1352.4,2
1346,2018-06-07,1354.4,1354.4,1355.2,1354.2,3
1347,2018-06-08,1354.4,1355.3,1355.3,1355.3,4
1348,2018-06-11,1355.5,1356.3,1356.3,1356.3,0
1349,2018-06-12,1351.8,1353.5,1353.5,1353.5,1
1350,2018-06-13,1353.5,1353.5,1353.5,1353.5,2
1351,2018-06-14,1360.6,1360.6,1360.6,1360.6,3
1352,2018-06-15,1329.3,1342.7,1342.7,1342.7,4
1353,2018-06-18,1331.1,1331.9,1331.9,1331.9,0
1354,2018-06-19,1329.2,1327.9,1327.9,1327.9,1
