,date,supply,open,close,high,low,market_cap,spread
1219,2016-08-29,15839212.5,574.07,574.11,576.28,573.47,9093420855,2.8099999999999454
1220,2016-08-30,15845025.0,574.11,577.5,578.36,574.11,9148340524,4.25
1221,2016-08-31,15845025.0,577.59,575.47,577.86,573.64,9117106217,4.220000000000027
1222,2016-09-01,15845025.0,575.55,572.3,576.31,571.81,9067854884,4.5
1223,2016-09-02,15850362.5,572.41,575.54,575.64,570.81,9120159589,4.830000000000041
1224,2016-09-03,15850362.5,575.55,598.21,599.5,574.06,9480380026,25.440000000000055
1225,2016-09-04,15850362.5,598.59,608.63,611.84,596.85,9646846465,14.990000000000009
1226,2016-09-05,15855925.0,608.99,606.59,609.05,602.24,9615468145,6.809999999999945
1227,2016-09-06,15855925.0,606.51,610.44,610.83,605.09,9677437248,5.740000000000009
1228,2016-09-07,15855925.0,610.57,614.54,614.54,608.51,9743676240,6.029999999999973
1229,2016-09-08,15861325.0,614.64,626.32,628.77,613.84,9931412644,14.92999999999995
1230,2016-09-09,15861325.0,626.35,622.86,626.83,620.26,9877681032,6.57000000000005
1231,2016-09-10,15861325.0,622.93,623.51,625.09,622.4,9889124590,2.6900000000000546
1232,2016-09-11,15867087.5,623.42,606.72,628.82,600.51,9624021892,28.31000000000006
1233,2016-09-12,15867087.5,607.01,608.24,608.46,605.41,9649385919,3.050000000000068
1234,2016-09-13,15867087.5,608.03,609.24,611.19,606.92,9666424848,4.2700000000000955
1235,2016-09-14,15873137.5,608.84,610.68,611.95,608.41,9690463177,3.5400000000000773
1236,2016-09-15,15873137.5,610.59,607.16,611.09,607.16,9635571708,3.9300000000000637
1237,2016-09-16,15873137.5,607.25,606.97,609.26,606.73,9633710359,2.5299999999999727
1238,2016-09-17,15878837.5,607.22,605.98,607.86,605.19,9619198525,2.669999999999959
1239,2016-09-18,15878837.5,606.28,609.87,610.16,605.86,9682008337,4.2999999999999545
1240,2016-09-19,15878837.5,609.87,609.23,610.93,608.27,9672709264,2.659999999999968
1241,2016-09-20,15884200.0,609.25,608.31,609.53,607.94,9659269452,1.5899999999999181
1242,2016-09-21,15884200.0,603.59,597.15,603.59,595.88,9483211005,7.710000000000036
1243,2016-09-22,15884200.0,597.28,596.3,598.49,596.21,9470698215,2.2799999999999727
1244,2016-09-23,15889737.5,596.2,602.84,603.21,595.79,9575631549,7.420000000000073
1245,2016-09-24,15889737.5,602.96,602.63,604.58,602.04,9573385118,2.5400000000000773
1246,2016-09-25,15889737.5,602.75,600.83,603.38,599.71,9546132575,3.669999999999959
1247,2016-09-26,15896037.5,600.81,608.04,608.14,600.35,9661922446,7.789999999999964
1248,2016-09-27,15896037.5,608.02,606.17,608.25,604.11,9633311305,4.139999999999986
1249,2016-09-28,15896037.5,606.24,604.73,606.59,604.61,9611532319,1.9800000000000182
1250,2016-09-29,15901762.5,605.02,605.69,606.82,604.85,9627902106,1.9700000000000273
1251,2016-09-30,15901762.5,605.72,609.73,609.73,604.14,9693198750,5.590000000000032
1252,2016-10-01,15901762.5,609.93,613.98,615.24,609.93,9761887632,5.310000000000059
1253,2016-10-02,15907262.5,613.95,610.89,614.01,609.68,9713776587,4.330000000000041
1254,2016-10-03,15907262.5,610.97,612.13,612.57,610.46,9734618878,2.1100000000000136
1255,2016-10-04,15907262.5,612.05,610.2,612.05,609.48,9705099355,2.5699999999999363
1256,2016-10-05,15913212.5,610.22,612.51,613.81,609.62,9743018924,4.189999999999941
1257,2016-10-06,15913212.5,612.47,613.02,613.82,611.47,9752315689,2.3500000000000227
1258,2016-10-07,15913212.5,612.61,617.12,617.91,611.82,9818599994,6.089999999999918
1259,2016-10-08,15919125.0,617.34,619.11,619.85,617.34,9851461946,2.509999999999991
1260,2016-10-09,15919125.0,619.17,616.75,619.2,616.61,9815156618,2.590000000000032
1261,2016-10-10,15919125.0,616.82,618.99,621.32,616.2,9851764897,5.1200000000000045
1262,2016-10-11,15924412.5,619.24,641.07,642.08,618.5,10204214839,23.58000000000004
1263,2016-10-12,15924412.5,640.87,636.19,641.34,635.97,10127644784,5.3700000000000045
1264,2016-10-13,15924412.5,636.03,636.79,638.83,635.03,10138078870,3.800000000000068
1265,2016-10-14,15929512.5,637.01,640.38,641.28,637.01,10196303437,4.269999999999982
1266,2016-10-15,15929512.5,640.31,638.65,642.1,637.39,10169814232,4.710000000000036
1267,2016-10-16,15929512.5,639.08,641.63,642.9,638.9,10218348388,4.0
1268,2016-10-17,15934475.0,641.82,639.19,642.33,638.66,10180488274,3.6700000000000728
1269,2016-10-18,15934475.0,639.41,637.96,640.74,636.0,10162029114,4.740000000000009
1270,2016-10-19,15934475.0,638.13,630.52,638.87,628.01,10044471117,10.860000000000014
1271,2016-10-20,15939650.0,630.66,630.86,631.92,628.26,10050854099,3.659999999999968
1272,2016-10-21,15939650.0,630.83,632.83,634.09,630.69,10083501603,3.3999999999999773
1273,2016-10-22,15939650.0,633.14,657.29,658.2,632.85,10474463658,25.350000000000023
1274,2016-10-23,15945362.5,657.62,657.07,661.13,653.89,10472100602,7.240000000000009
1275,2016-10-24,15945362.5,657.16,653.76,657.25,652.59,10420469172,4.659999999999968
1276,2016-10-25,15945362.5,654.0,657.59,664.42,653.7,10482565592,10.719999999999914
1277,2016-10-26,15950612.5,657.68,678.3,679.73,657.68,10813913071,22.050000000000068
1278,2016-10-27,15950612.5,678.21,688.31,688.59,678.04,10974828655,10.550000000000068
1279,2016-10-28,15950612.5,688.0,689.65,690.44,684.16,10997420362,6.280000000000086
1280,2016-10-29,15956400.0,690.29,714.48,720.4,690.05,11394596830,30.350000000000023
